word,count_correct,count_appear,count_incorrect
.net framework,0,0,0
234 tree,0,0,0
3d printer,0,0,0
3d printing,0,0,0
a* search algorithm,0,0,0
aa tree,0,0,0
aborted transactions,0,0,0
absolute code,0,0,0
absolute path names,0,0,0
abstract,0,0,0
abstract base classes,0,0,0
abstract class,0,0,0
abstract data type,0,0,0
abstract factory pattern,0,0,0
abstract method,0,0,0
abstract syntax notation one,0,0,0
abstract window toolkit,0,0,0
access,0,0,0
access control,0,0,0
access control lists,0,0,0
access delay,0,0,0
access latency,0,0,0
access lists,0,0,0
access matrix,0,0,0
access modifier,0,0,0
access network,0,0,0
access networks,0,0,0
access paths,0,0,0
access point,0,0,0
access routers,0,0,0
access-control list (acl),0,0,0
accounting management,0,0,0
accreditation,0,0,0
acer,0,0,0
ack,0,0,0
acknowledgement number,0,0,0
acknowledgments,0,0,0
action script,0,0,0
activation function,0,0,0
active optical networks,0,0,0
active queue management algorithms,0,0,0
active server pages,0,0,0
activity diagram,0,0,0
actual argument,0,0,0
actual arguments,0,0,0
acyclic graph,0,0,0
acyclic-graph directories,0,0,0
ad hoc networks,0,0,0
ada,0,0,0
adapter,0,0,0
adapter pattern,0,0,0
adapters,0,0,0
adaptive congestion control,0,0,0
adaptive mutex,0,0,0
adaptive playout delay,0,0,0
adaptive streaming,0,0,0
additional-reference-bits algorithm,0,0,0
address aggregation,0,0,0
address bar,0,0,0
address binding,0,0,0
address indirection,0,0,0
address resolution protocol,0,0,0
address resolution protocol - arp,0,0,0
address space layout randomization,0,0,0
address-space identifiers,0,0,0
addresses,0,0,0
adhoc mode,0,0,0
adjacency matrix,0,0,0
administrative complexity,0,0,0
administrator,0,0,0
admission-control algorithms,0,0,0
adobe,0,0,0
adobe flash player,0,0,0
adsl,0,0,0
advanced audio coding,0,0,0
advanced encryption standard (aes),0,0,0
advanced micro devices,0,0,0
advanced research projects agency,0,0,0
advanced technology attachment,0,0,0
adversarial attack,0,0,0
adversarial network,0,0,0
affine transformation,0,0,0
agent advertisement,0,0,0
agent discovery,0,0,0
agent solicitation,0,0,0
agglomerative clustering,0,0,0
aggregate functions,0,0,0
aggregation,0,0,0
agile,0,0,0
aging time,0,0,0
aho corasick,0,0,0
ajax,0,0,0
alan turing,0,0,0
alexa,0,0,0
algorithm,0,0,0
algorithm implementation,0,0,0
algorithmic complexity,0,0,0
algorithms,0,0,0
alias,0,0,0
alias hostname,0,0,0
aliases,0,0,0
all-pairs shortest paths,0,0,0
allocating memory,0,0,0
allocators,0,0,0
aloha,0,0,0
alphaford,0,0,0
alphago,0,0,0
alter table,0,0,0
alternating-bit protocols,0,0,0
amazon cloud,0,0,0
amazon web services,0,0,0
american national standards,0,0,0
american national standards institute,0,0,0
american standard code for information interchange,0,0,0
analog audio,0,0,0
analysis of algorithm,0,0,0
analysis pass,0,0,0
analytic combinatorics,0,0,0
analytic workspaces,0,0,0
ancestor,0,0,0
anchor,0,0,0
anchor foreign agent,0,0,0
andrey markov,0,0,0
android developer tools,0,0,0
android wear,0,0,0
angularjs,0,0,0
anjuta,0,0,0
anomaly detection,0,0,0
anonymity,0,0,0
anonymous,0,0,0
anonymous unions,0,0,0
antenna,0,0,0
antivirus software,0,0,0
anycast,0,0,0
aol,0,0,0
apache,0,0,0
apache subversion,0,0,0
apache tomcat,0,0,0
apache web server,0,0,0
aparnet,0,0,0
apple,0,0,0
apple app store,0,0,0
apple computers,0,0,0
apple talk,0,0,0
apple watch,0,0,0
application,0,0,0
application architecture,0,0,0
application design,0,0,0
application development framework (adf),0,0,0
application gateways,0,0,0
application layer,0,0,0
application migration,0,0,0
application program interface,0,0,0
application programming interface,0,0,0
application-layer messages,0,0,0
application-layer protocols,0,0,0
apply operator,0,0,0
apt-get,0,0,0
arbitrated loop,0,0,0
arcade game,0,0,0
architectural patterns,0,0,0
architecture,0,0,0
arduino,0,0,0
argument,0,0,0
argument control,0,0,0
arithmetic logic unit,0,0,0
arithmetic operators,0,0,0
arm,0,0,0
arp,0,0,0
arpanet,0,0,0
array,0,0,0
array types,0,0,0
articulation point (cut vertex),0,0,0
artificial intelligence,0,0,0
asc expression,0,0,0
ascii,0,0,0
assembler,0,0,0
assembly,0,0,0
assembly language,0,0,0
assertions,0,0,0
assignment,0,0,0
assignment edge,0,0,0
assignment operation,0,0,0
association,0,0,0
association for computing machinery,0,0,0
association rule learning,0,0,0
associations,0,0,0
asus,0,0,0
asymmetric encryption,0,0,0
asymmetric multiprocessing,0,0,0
asymmetric-key encryption,0,0,0
asynchronous,0,0,0
asynchronous javascript and xml,0,0,0
asynchronous procedure calls,0,0,0
asynchronous thread cancellation,0,0,0
asynchronous transfer mode - atm,0,0,0
ati technologies,0,0,0
atomic,0,0,0
atomic domains,0,0,0
atomic transactions,0,0,0
atomic value,0,0,0
atomicity,0,0,0
attaching processes,0,0,0
attachment,0,0,0
attacker,0,0,0
attacks and vulnerabilities,0,0,0
attention,0,0,0
attribute,0,0,0
attribute inheritance,0,0,0
attribute-value skew,0,0,0
attributes,0,0,0
audit trails,0,0,0
augmentation rule,0,0,0
augmented reality,0,0,0
authentication,0,0,0
authentication key,0,0,0
authorization (authz),0,0,0
auto declarations,0,0,0
automata,0,0,0
automatic job sequencing,0,0,0
automatic repeat request,0,0,0
automatic repeat request protocols,0,0,0
automatic storage manager,0,0,0
automatic type conversion,0,0,0
automatic workload repository (awr),0,0,0
automaton,0,0,0
automotive engineering,0,0,0
autonomous system number,0,0,0
availability,0,0,0
available bit-rate,0,0,0
avast,0,0,0
avatar,0,0,0
average case complexity,0,0,0
average response time,0,0,0
average seek time,0,0,0
avg expression,0,0,0
avl tree,0,0,0
aws,0,0,0
b-tree,0,0,0
back door,0,0,0
back propagation,0,0,0
backbone,0,0,0
backbone area,0,0,0
backdoor,0,0,0
background processes,0,0,0
backoff,0,0,0
backtracking,0,0,0
backup,0,0,0
backup coordinator,0,0,0
backups,0,0,0
badbit stream state,0,0,0
bag of features,0,0,0
bag of words,0,0,0
balance tree,0,0,0
balanced binary search tree,0,0,0
balanced range-partitioning,0,0,0
balanced tree,0,0,0
bandwidth,0,0,0
bandwidth flooding,0,0,0
bandwidth provisioning,0,0,0
bandwidth-sensitive applications,0,0,0
banker's algorithm,0,0,0
base class,0,0,0
base pointer,0,0,0
base register,0,0,0
base station,0,0,0
base station controller,0,0,0
base station system,0,0,0
base transceiver station,0,0,0
bash,0,0,0
basic data type,0,0,0
basic encoding rules,0,0,0
basic input output system,0,0,0
basic service set,0,0,0
basic service set - bss,0,0,0
batch,0,0,0
batch processing,0,0,0
batch scaleup,0,0,0
batch update,0,0,0
battery,0,0,0
battlefield,0,0,0
bayes theorem,0,0,0
bayesian classifiers,0,0,0
bayesian network,0,0,0
beacon,0,0,0
beacon frames,0,0,0
behavior,0,0,0
behavioral pattern,0,0,0
bellman-ford equation,0,0,0
benchmark,0,0,0
berkeley internet name domain,0,0,0
best case complexity,0,0,0
best-effort delivery service,0,0,0
biased protocol,0,0,0
biconnected component,0,0,0
bidirectional,0,0,0
bidirectional data transfer,0,0,0
bidirectional encoder representations from transformers,0,0,0
bidirectional iterators,0,0,0
big data,0,0,0
big-bang approach,0,0,0
big-endian,0,0,0
big-o,0,0,0
bigtable,0,0,0
binary,0,0,0
binary code,0,0,0
binary exploitation,0,0,0
binary exponential backoff algorithm,0,0,0
binary file,0,0,0
binary insertion sort,0,0,0
binary recursion,0,0,0
binary search,0,0,0
binary search tree,0,0,0
binary semaphore,0,0,0
binary splits,0,0,0
bing,0,0,0
binomial tree,0,0,0
bioinformatics,0,0,0
biometric,0,0,0
